"Abstimmungs_Datum","Nr_Politische_Ebene","Name_Politische_Ebene","Abstimmungs_Text","Nr_Resultat_Gebiet","Name_Resultat_Gebiet","Nr_Wahlkreis_StZH","Name_Wahlkreis_StZH","Stimmberechtigt","Ja","Nein","Stimmbeteiligung (%)","Ja (%)","Nein (%)","StaendeJa","StaendeNein"
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",7,"Kreis 9",31637.0,10697,6947,56.2,60.6,39.4,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,9871,11343,67.8,46.5,53.5,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",5,"Kreis 6",19466.0,6965,6101,67.7,53.3,46.7,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,8746,5357,57.7,62.0,38.0,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",3,"Kreis 3",27556.0,9909,6066,58.4,62.0,38.0,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,7486,6440,60.7,53.8,46.2,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich","","",270440.0,84386,63268,55.0,57.2,42.8,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,17236,1366,63.2,92.7,7.3,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,7599,13310,67.2,36.3,63.7,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",8,"Kreis 10",24317.0,12622,1003,60.4,92.6,7.4,"",""
