Gemeinde,Kanton,Bezirk,Afrika,Asien,EFTA-Staaten,EU-Staaten,Lateinamerika und Karibik,Nordamerika,Ohne Angabe,Ozeanien,Staatenlos,Ã¯Â¿Â½briges Europa (Europa ohne EU und EFTA)
DÃ¯Â¿Â½rrenÃ¯Â¿Â½sch,Aargau,Bezirk Kulm,0.006349206349206349,0.009523809523809525,0.0,0.06904761904761905,0.0,0.0,0.0,0.002380952380952381,0.0,0.02142857142857143
Gontenschwil,Aargau,Bezirk Kulm,0.010603964960811434,0.007376671277086215,0.0,0.10096818810511757,0.005532503457814661,0.0,0.0,0.0,0.0,0.060396496081143385
Holziken,Aargau,Bezirk Kulm,0.008141112618724558,0.008819538670284939,0.0,0.1078697421981004,0.0027137042062415195,0.0,0.0,0.0,0.0,0.045454545454545456
Leimbach (AG),Aargau,Bezirk Kulm,0.0021141649048625794,0.008456659619450317,0.0,0.05496828752642706,0.0021141649048625794,0.0,0.0,0.0,0.0,0.040169133192389
Leutwil,Aargau,Bezirk Kulm,0.002638522427440633,0.0,0.0,0.06464379947229551,0.002638522427440633,0.0,0.0,0.0,0.0,0.011873350923482849
Menziken,Aargau,Bezirk Kulm,0.015339776039269826,0.017640742445160302,0.0,0.1854578923147722,0.002914557447461267,0.0013805798435342844,0.00015339776039269826,0.00015339776039269826,0.0,0.17180549163982206
Oberkulm,Aargau,Bezirk Kulm,0.01651376146788991,0.004036697247706422,0.0,0.09541284403669725,0.0022018348623853213,0.0003669724770642202,0.0,0.0,0.0,0.11412844036697248
Reinach (AG),Aargau,Bezirk Kulm,0.01275481152488327,0.010818813346999202,0.0002277644915157727,0.16296549367953536,0.004896936567589113,0.0004555289830315454,0.0004555289830315454,0.0,0.0,0.2219564969821205
Schlossrued,Aargau,Bezirk Kulm,0.010778443113772455,0.003592814371257485,0.0,0.06467065868263473,0.0,0.0,0.0,0.0,0.0,0.009580838323353293
Schmiedrued,Aargau,Bezirk Kulm,0.0008680555555555555,0.009548611111111112,0.0,0.06076388888888889,0.0008680555555555555,0.0,0.0,0.0,0.0,0.019965277777777776
SchÃ¯Â¿Â½ftland,Aargau,Bezirk Kulm,0.0036141856787892477,0.00677659814772984,0.0,0.10345606505534222,0.00225886604924328,0.0,0.0,0.00022588660492432798,0.0,0.050146826293200816
Teufenthal (AG),Aargau,Bezirk Kulm,0.018281535648994516,0.015234613040828763,0.0,0.1425959780621572,0.0042656916514320535,0.0006093845216331506,0.0,0.0,0.0,0.08104814137720902
Unterkulm,Aargau,Bezirk Kulm,0.03318442884492661,0.012125079770261647,0.0,0.09891512444160817,0.002871729419272495,0.0,0.0012763241863433313,0.0006381620931716656,0.0,0.1585832801531589
Zetzwil,Aargau,Bezirk Kulm,0.008902077151335312,0.012611275964391691,0.0,0.08382789317507418,0.001483679525222552,0.000741839762611276,0.0,0.0,0.0,0.03115727002967359
Eiken,Aargau,Bezirk Laufenburg,0.001303780964797914,0.01086484137331595,0.0,0.14950021729682747,0.003476749239461104,0.0,0.0,0.0,0.0,0.054324206866579745
Frick,Aargau,Bezirk Laufenburg,0.021750663129973476,0.019982316534040673,0.0005305039787798408,0.13085764809902742,0.003183023872679045,0.00017683465959328028,0.0,0.0,0.0,0.09000884173297967
Gansingen,Aargau,Bezirk Laufenburg,0.004748338081671415,0.008547008547008548,0.000949667616334283,0.07407407407407407,0.000949667616334283,0.0,0.000949667616334283,0.0,0.0,0.003798670465337132
Gipf-Oberfrick,Aargau,Bezirk Laufenburg,0.0021941854086670325,0.007953922106417993,0.0,0.10093252879868349,0.0030170049369171695,0.0021941854086670325,0.0,0.00027427317608337906,0.0,0.025233132199670872
Herznach,Aargau,Bezirk Laufenburg,0.005703422053231939,0.0063371356147021544,0.0,0.10012674271229405,0.0019011406844106464,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.046261089987325726
Kaisten,Aargau,Bezirk Laufenburg,0.0018642803877703207,0.0145413870246085,0.0007457121551081282,0.1226696495152871,0.0022371364653243847,0.0003728560775540641,0.0,0.0,0.0,0.03616703952274422
Laufenburg,Aargau,Bezirk Laufenburg,0.013858695652173913,0.016304347826086956,0.001358695652173913,0.23940217391304347,0.004619565217391305,0.0,0.0,0.0010869565217391304,0.0,0.0546195652173913
MÃ¯Â¿Â½nchwilen (AG),Aargau,Bezirk Laufenburg,0.0,0.018947368421052633,0.0,0.21157894736842106,0.002105263157894737,0.003157894736842105,0.0,0.0,0.0,0.04736842105263158
