'link','name','country institution','origin','period','genre/type','Xml-tei','export?','completed','remark'
'https://github.com/arthur-schnitzler/schnitzler-briefe-data/tree/main/data/editions','Briefwechsel Schnitzler Bahr','Austria','Germany, Austria','Modern-Present','letters','yes','via github',,
'https://www.arthur-schnitzler.de/','Arthur Schnitzler digital','Germany, Great Britain','Germany, Austria','Modern-Present','prose','yes','unknown',,
'https://deba.unideb.hu/deba/raday/levelvaltasok.php','The Correspondence of the Raday Family','Hungary','Hungary','Modern-Present','letters','no','unknown',,
'https://deba.unideb.hu/deba/levelezes/index.php','The Correspondence of the Hungarian Authors','Hungary','Hungary','Modern','letters','no','unknown',,
'https://deba.unideb.hu/deba/berzsenyi/index.php','The Correspondence of Daniel Berzsenyi','Hungary','Hungary','Modern','letters','no','unknown',,
'https://deba.unideb.hu/deba/gyongyossi/index.php','The Works of Janos Gyöngyössi','Hungary','Hungary','Modern','miscellaneous','no','unknown',,
'https://deba.unideb.hu/deba/csokonai_muvei/','The Complete Works of Mihaly Csokonai Vitez','Hungary','Hungary','Modern','miscellaneous','no','unknown',,
'https://deba.unideb.hu/deba/kazinczy_muvei/index.php','The Complete Works of Ferenc Kazinczy','Hungary','Hungary','Modern','miscellaneous','no','unknown',,
'https://kabbalaheditions.org/index.en.html','Platform for academic editions of kabbalistic texts','Israel, Germany',,'Medieval-Modern','prose','yes','unknown',,'no editions seem to be published yet'
'https://github.com/iulibdcs/Indiana-Magazine-of-History','The Indiana Magazine of History (IMH)','USA','USA','Present','prose','yes','via github',,
'https://parzival.unibe.ch/','Parzival Edition','Switzerland','Germany','Medieval','prose','not found','unknown',,'Dominique S. fragen?'
'https://nietzsche.philhist.unibas.ch','Der späte Nietzsche','Switzerland','Germany, Switzerland','Present','manuscripts','not found','unknown',,'Dominique S. fragen?'
'https://gossembrot.unibe.ch/gossembrot-db/','Die Bibliothek Sigmund Gossembrots','Switzerland','Germany','Medieval','manuscripts','yes','unknown',,'Dominique S. fragen?'
'http://diglib.hab.de/edoc/ed000006/index.php','Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.','Germany','Germany','Medieval','manuscripts','not found','unknown',,
'https://dafyddapgwilym.net/','The Poems of Dafydd ap Gwilym','Great Britain','Great Britain','Medieval','prose','no','unknown',,
'https://www.confessio.ie/more/downloads#','Saint Patrick’s Confessio','Ireland','Ireland','Ancient ','prose','yes','via link',,
'http://scrineum.unipv.it/LM/home.html','"Liber Matriculae - Il libro della matricola dei notai di Vercelli"','Italy','Italy','Medieval – Modern','unknown','no','unknown',,'page is down'
'https://bayle-correspondance.univ-st-etienne.fr','Correspondance de Pierre Bayle','France','France','Modern','letters','not found','unknown',,
