Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
'Mitenand-Initiative für eine neue Ausländerpolitik',1981-04-05,Citizens' initiative,immigration policy,employment policy,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über den Strassenverkehr, Aenderung vom 21.03.1980 (Sicherheitsgurten und Schutzhelme)",1980-11-30,Optional referendum,road transport,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 20.06.1980 über die Revision der Brotgetreideordnung des Landes,1980-11-30,Mandatory referendum,budget cuts and remediation measures,crop production,national economic supply,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 20.06.1980 über die Neuverteilung der Reineinnahmen der Eidgenössischen Alkoholverwaltung aus der fiskalischen Belastung der gebrannten Wasser,1980-11-30,Mandatory referendum,budget cuts and remediation measures,intergovernmental relations,indirect taxation,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 20.06.1980 über die Aufhebung des Kantonsanteiles am Reinertrag der Stempelabgaben,1980-11-30,Mandatory referendum,budget cuts and remediation measures,indirect taxation,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 22.06.1979 über die Neuordnung der Landesversorgung,1980-03-02,Mandatory referendum,national economic supply,,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'betreffend die vollständige Trennung von Staat und Kirche',1980-03-02,Citizens' initiative,"religion, churches",intergovernmental relations,tax policy,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 06.10.1978 zum Atomgesetz,1979-05-20,Optional referendum,nuclear energy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 15.12.1978 über die Neuordnung der Umsatzsteuer und der direkten Bundessteuer,1979-05-20,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'zur Wahrung der Volksrechte und der Sicherheit beim Bau und Betrieb von Atomanlagen',1979-02-18,Citizens' initiative,nuclear energy,environmental policy,citizens' rights,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'gegen Suchtmittelreklame',1979-02-18,Citizens' initiative,addictive substances,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 06.10.1978 über die Volksinitiative 'zur Förderung der Fuss- und Wanderwege' (Gegenentwurf),1979-02-18,Counter proposal,transport and infrastructure,protection of nature and cultural heritage,tourism and leisure,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 23.06.1978 über das Stimm- und Wahlrecht für 18jährige,1979-02-18,Mandatory referendum,voting rights,children and young people,fundamental rights,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 19.04.1978 über die Berufsbildung (BBG),1978-12-03,Optional referendum,professional and vocational education,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 09.03.1978 über die Erfüllung sicherheitspolizeilicher Aufgaben des Bundes,1978-12-03,Optional referendum,state security,police,,Bottom up,Binding,Official,Normal,Citizens
Tierschutzgesetz (TschG) vom 09.03.1978,1978-12-03,Optional referendum,livestock,animal protection,,Bottom up,Binding,Official,Normal,Citizens
Milchwirtschaftsbeschluss 1977 (MWB 1977) vom 07.10.1977,1978-12-03,Optional referendum,livestock,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 09.03.1978 über die Gründung des Kantons Jura,1978-09-24,Mandatory referendum,territorial questions,,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'Für 12 motorfahrzeugfreie und motorflugzeugfreie Sonntage pro Jahr',1978-05-28,Citizens' initiative,road transport,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 07.10.1977 über die Förderung der Hochschulen und die Forschung (HFG),1978-05-28,Optional referendum,universities,research,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 24.06.1977 über den Schutz der Schwangerschaft und die Strafbarkeit des Schwangerschaftsabbruchs,1978-05-28,Optional referendum,status of women,criminal law,,Bottom up,Binding,Official,Normal,Citizens
"Zolltarifgesetz, Aenderung vom 07.10.1977",1978-05-28,Optional referendum,crop production,budget cuts and remediation measures,national economic supply,Bottom up,Binding,Official,Normal,Citizens
Zeitgesetz vom 24.06.1977,1978-05-28,Optional referendum,transport and infrastructure,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 07.10.1977 über den Konjunkturartikel der Bundesverfassung,1978-02-26,Mandatory referendum,short-term economic policy,,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'zur Herabsetzung des AHV-Alters',1978-02-26,Citizens' initiative,pension insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Alters- und Hinterlassenenversicherung, Aenderung vom 24.06.1977 (9. AHV-Revision)",1978-02-26,Optional referendum,pension insurance,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Demokratie im Nationalstrassenbau',1978-02-26,Citizens' initiative,road construction,protection of nature and cultural heritage,referendum,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 05.05.1977 über Massnahmen zum Ausgleich des Bundeshaushaltes,1977-12-04,Optional referendum,budget cuts and remediation measures,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 05.05.1977 über die Einführung eines zivilen Ersatzdienstes,1977-12-04,Mandatory referendum,"conscientious objection, civilian service",,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 17.12.1976 über die politischen Rechte,1977-12-04,Optional referendum,citizens' initiatives,procedure for constitutional reform,,Bottom up,Binding,Official,Normal,Citizens
"Volksbegehren 'zur Steuerharmonisierung, zur stärkeren Besteuerung des Reichtums und zur Entlastung der unteren Einkommen (Reichtumsteuer-Initiative)'",1977-12-04,Citizens' initiative,direct taxation,,,Bottom up,Binding,Official,Normal,Citizens
Gegenvorschlag zur eidgenössischen Volksinitiative für einen wirksamen Mieterschutz,1977-09-25,Counter proposal,tenancy issues,,,Top down,Binding,Official,Normal,Parliament
Volksinitiative 'für die Fristenlösung',1977-09-25,Citizens' initiative,status of women,criminal law,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 25.03.1977 über die Erhöhung der Unterschriftenzahl für die Verfassungsinitiative (Art. 120 und 121 BV),1977-09-25,Mandatory referendum,citizens' initiatives,procedure for constitutional reform,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 25.03.1977 über die Erhöhung der Unterschriftenzahl für das Referendum (Art. 89 und 89bis BV),1977-09-25,Mandatory referendum,referendum,legislative procedure,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'gegen die Luftverschmutzung durch Motorfahrzeuge',1977-09-25,Citizens' initiative,air quality control,road transport,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 25.03.1977 über die Volksinitiative 'für einen wirksamen Mieterschutz',1977-09-25,Citizens' initiative,tenancy issues,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 17.12.1976 über die Steuerharmonisierung,1977-06-12,Mandatory referendum,tax system,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 17.12.1976 über die Neuordnung der Umsatzsteuer und der direkten Bundessteuer,1977-06-12,Mandatory referendum,tax system,financial system,,Automatic,Binding,Official,Normal,Constitution
Gegenvorschlag zur eidgenössischen Volksinitiative über die Neuordnung des Staatsvertragsreferendums,1977-03-13,Counter proposal,referendum,bilateral treaties,immigration policy,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 17.12.1976 über die Neuordnung des Staatsvertragsreferendums:; Volksinitiative 'gegen die Beschränkung des Stimmrechts bei Staatsverträgen mit dem Ausland',1977-03-13,Citizens' initiative,referendum,position on foreign policy,,Bottom up,Binding,Official,Normal,Citizens
Volksbegehren 'zur Beschränkung der Einbürgerungen' (5. Ueberfremdungsinitiative),1977-03-13,Citizens' initiative,immigration policy,citizenship,,Bottom up,Binding,Official,Normal,Citizens
Republikanische Volksbegehren 'zum Schutze der Schweiz' (4. Ueberfremdungsinitiative),1977-03-13,Citizens' initiative,immigration policy,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'zur Einführung der 40-Stunden-Woche',1976-12-05,Citizens' initiative,working hours,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 19.12.1975 über die Preisüberwachung,1976-12-05,Mandatory referendum,pricing policy,consumer protection,,Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 19.12.1975 über Geld- und Kreditpolitik,1976-12-05,Mandatory referendum,monetary policy,"banks, stock exchange, insurance",,Automatic,Binding,Official,Urgent,Constitution
Volksbegehren zur Einführung einer Haftpflichtversicherung für Motorfahrzeuge und Fahrräder durch den Bund,1976-09-26,Citizens' initiative,road transport,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 19.03.1976 betreffend einen Verfassungsartikel über Radio und Fernsehen,1976-09-26,Mandatory referendum,"radio, television and electronic media",fundamental rights,freedom of the media,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 11.03.1976 über eine Neukonzeption der Arbeitslosenversicherung,1976-06-13,Mandatory referendum,unemployment insurance,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 20.06.1975 betreffend ein Abkommen zwischen der Schweiz und der Internationalen Entwicklungsorganisation (IDA) über ein Darlehen von 200 Millionen Franken,1976-06-13,Optional referendum,development cooperation,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 04.10.1974 über die Raumplanung,1976-06-13,Optional referendum,spatial planning,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Gegenvorschlag zur eidgenössischen Volksinitiative für die Mitbestimmung der Arbeitnehmer,1976-03-21,Counter proposal,industrial relations,,,Top down,Binding,Official,Normal,Parliament
Volksbegehren für gerechtere Besteuerung und die Abschaffung der Steuerprivilegien,1976-03-21,Citizens' initiative,tax policy,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 04.10.1974 betreffend das Volksbegehren über die Mitbestimmung,1976-03-21,Citizens' initiative,industrial relations,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 13.12.1974 über die Ein- und Ausfuhr von Erzeugnissen aus Landwirtschaftsprodukten,1975-12-07,Optional referendum,customs,agricultural policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 20.06.1975 betreffend Aenderung der Bundesverfassung im Gebiete der Wasserwirtschaft,1975-12-07,Mandatory referendum,water pollution control,hydro-electric power,division of tasks,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 13.12.1974 über eine Aenderung der Bundesverfassung (Niederlassungsfreiheit und Unterstützungsregelung),1975-12-07,Mandatory referendum,fundamental rights,welfare,division of tasks,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 31.01.1975 über die Erschwerung von Ausgabenbeschlüssen,1975-06-08,Mandatory referendum,public expenditure,legislative procedure,parliament,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 31.01.1975 betreffend Erhöhung der Steuereinnahmen ab 1976,1975-06-08,Mandatory referendum,budget cuts and remediation measures,tax policy,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 04.10.1974 über die Aenderung des Generalzolltarifs,1975-06-08,Optional referendum,budget cuts and remediation measures,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Finanzierung der Nationalstrassen. Aenderung vom 04.10.1974,1975-06-08,Optional referendum,budget cuts and remediation measures,road construction,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über den Schutz der Währung. Aenderung vom 28.06.1974,1975-06-08,Mandatory referendum,monetary policy,,,Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 04.10.1974 über den Konjunkturartikel der Bundesverfassung,1975-03-02,Mandatory referendum,short-term economic policy,,,Automatic,Binding,Official,Normal,Constitution
"Gegenvorschlag zur Volksinitiative für die soziale Krankenversicherung und die Aenderung der Bundesverfassung auf dem Gebiet der Kranken-, Unfall- und Mutterschaftsversicherung",1974-12-08,Counter proposal,health and accident insurance,,,Top down,Binding,Official,Normal,Parliament
"Bundesbeschluss vom 22.03.1974 über das Volksbegehren für die soziale Krankenversicherung und die Aenderung der Bundesverfassung auf dem Gebiet der Kranken-, Unfall- und Mutterschaftsversicherung",1974-12-08,Citizens' initiative,health and accident insurance,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 04.10.1974 über die Erschwerung von Ausgabenbeschlüssen,1974-12-08,Mandatory referendum,public expenditure,legislative procedure,parliament,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 04.10.1974 zur Verbesserung des Bundeshaushalts,1974-12-08,Mandatory referendum,tax policy,budget cuts and remediation measures,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren gegen die Ueberfremdung und Uebervölkerung der Schweiz,1974-10-20,Citizens' initiative,immigration policy,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 27.06.1973 über einen Tierschutzartikel anstelle des bisherigen Artikels 25bis der Bundesverfassung,1973-12-02,Mandatory referendum,animal protection,livestock,,Automatic,Binding,Official,Normal,Constitution
"Bundesbeschluss vom 20.12.1972 über die Einschränkung der steuerwirksamen Abschreibungen bei den Einkommenssteuern von Bund, Kantonen und Gemeinden",1973-12-02,Mandatory referendum,tax policy,short-term economic policy,,Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 20.12.1972 über Massnahmen auf dem Gebiete des Kreditwesens,1973-12-02,Mandatory referendum,short-term economic policy,monetary policy,"banks, stock exchange, insurance",Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 20.12.1972 über Massnahmen zur Stabilisierung des Baumarktes,1973-12-02,Mandatory referendum,short-term economic policy,structural policy,,Automatic,Binding,Official,Urgent,Constitution
"Bundesbeschluss vom 20.12.1972 betreffend Ueberwachung der Preise, Löhne und Gewinne",1973-12-02,Mandatory referendum,pricing policy,employment policy,short-term economic policy,Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 06.10.1972 über die Aufhebung des Jesuiten- und des Klosterartikels der Bundesverfassung (Art. 51 und 52),1973-05-20,Mandatory referendum,"religion, churches",,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 06.10.1972 über die Ergänzung der Bundesverfassung betreffend die Förderung der wissenschaftlichen Forschung,1973-03-04,Mandatory referendum,research,universities,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 06.10.1972 über die Aenderung der Bundesverfassung betreffend das Bildungswesen,1973-03-04,Mandatory referendum,schools,fundamental rights,division of tasks,Automatic,Binding,Official,Normal,Constitution
Gegenvorschlag zur eidgenössischen Volksinitiative zur Einführung einer Volkspension,1972-12-03,Counter proposal,pension insurance,occupational benefits provision,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 03.10.1972 über die Abkommen zwischen der Schweizerischen Eidgenossenschaft und der Europäischen Wirtschaftsgemeinschaft sowie den Mitgliedstaaten der Europäischen Gemeinschaft für Kohle und Stahl,1972-12-03,Mandatory referendum,EU,customs,economic policy,Top down,Binding,Official,Normal,Parliament
"Bundesbeschluss vom 30.06.1972 betreffend das Volksbegehren für eine wirkliche Volkspension und die Aenderung der Bundesverfassung auf dem Gebiete der Alters-, Hinterlassenen- und Invalidenvorsorge",1972-12-03,Citizens' initiative,pension insurance,occupational benefits provision,,Bottom up,Binding,Official,Normal,Citizens
Volksbegehren betreffend vermehrte Rüstungskontrolle und ein Waffenausfuhrverbot,1972-09-24,Citizens' initiative,arms,foreign trade policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 08.10.1971 über den Schutz der Währung,1972-06-04,Mandatory referendum,monetary policy,,,Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 25.06.1971 über Massnahmen zur Stabilisierung des Baumarktes,1972-06-04,Mandatory referendum,structural policy,,,Automatic,Binding,Official,Urgent,Constitution
Gegenvorschlag zur eidgenössischen Volksinitiative zur Förderung des Wohnungsbaues,1972-03-05,Counter proposal,"building of residential housing, property ownership",,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 17.12.1971 betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34septies über die Allgemeinverbindlicherklärung von Mietverträgen und Massnahmen zum Schutze der Mieter,1972-03-05,Mandatory referendum,tenancy issues,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 17.12.1971 betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34sexies über den Wohnungsbau und betreffend das Volksbegehren zur Bildung eines Wohnbaufonds (Denner-Initiative),1972-03-05,Citizens' initiative,"building of residential housing, property ownership",,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 11.03.1971 über die Weiterführung der Finanzordnung des Bundes,1971-06-06,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 18.12.1970 über die Ergänzung der Bundesverfassung durch einen Artikel 24septies betreffend den Schutz des Menschen und seiner natürlichen Umwelt gegen schädliche oder lästige Einwirkungen,1971-06-06,Mandatory referendum,environmental policy,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 09.10.1970 über die Einführung des Frauenstimm- und Wahlrechts in eidgenössischen Angelegenheiten,1971-02-07,Mandatory referendum,voting rights,status of women,fundamental rights,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 24.06.1970 über die Aenderung der Finanzordnung des Bundes,1970-11-15,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren für das Recht auf Wohnung und den Ausbau des Familienschutzes,1970-09-27,Citizens' initiative,tenancy issues,family policy,fundamental rights,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 18.03.1970 über die Ergänzung der Bundesverfassung durch einen Artikel 27quinquies betreffend die Förderung von Turnen und Sport,1970-09-27,Mandatory referendum,schools,electoral system,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren gegen die Ueberfremdung,1970-06-07,Citizens' initiative,immigration policy,employment policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 27.06.1969 über die inländische Zuckerwirtschaft,1970-02-01,Optional referendum,crop production,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 21.03.1969 über die Ergänzung der Bundesverfassung durch die Artikel 22ter und 22quater (Verfassungsrechtliche Ordnung des Bodenrechts),1969-09-14,Mandatory referendum,land law,,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 04.10.1968 über die Eidgenössischen Technischen Hochschulen,1969-06-01,Optional referendum,universities,research,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 05.10.1967 über die Tabakbesteuerung,1968-05-19,Optional referendum,indirect taxation,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 05.10.1967 über den Erlass einer allgemeinen Steueramnestie,1968-02-18,Mandatory referendum,tax policy,,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren gegen die Bodenspekulation,1967-07-02,Citizens' initiative,land law,,,Bottom up,Binding,Official,Normal,Citizens
Volksbegehren zur Bekämpfung des Alkoholismus,1966-10-16,Citizens' initiative,addictive substances,indirect taxation,pension insurance,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 25.03.1966 über die Ergänzung der Bundesverfasssung durch einen Artikel 45bis über die Auslandschweizer,1966-10-16,Mandatory referendum,Swiss abroad,,,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz vom 02.10.1964 betreffend die Aenderung des Beschlusses der Bundesversammlung über Milch, Milchprodukte und Speisefette (Milchbeschluss)",1965-05-16,Optional referendum,livestock,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 13.03.1964 über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete der Bauwirtschaft,1965-02-28,Mandatory referendum,short-term economic policy,,,Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 13.03.1964 über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete des Geld- und Kapitalmarktes und des Kreditwesens,1965-02-28,Mandatory referendum,short-term economic policy,monetary policy,"banks, stock exchange, insurance",Automatic,Binding,Official,Urgent,Constitution
Bundesbeschluss vom 09.10.1964 über die Weiterführung befristeter Preiskontrollmassnahmen,1964-12-06,Mandatory referendum,pricing policy,tenancy issues,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 20.09.1963 über die Berufsbildung,1964-05-24,Optional referendum,professional and vocational education,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 27.09.1963 über den Erlass einer allgemeinen Steueramnestie auf den 1. Januar 1965,1964-02-02,Mandatory referendum,tax policy,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 21.06.1963 betreffend die Ergänzung der Bundesverfassung durch einen Artikel 27quater über Stipendien und andere Ausbildungsbeihilfen,1963-12-08,Mandatory referendum,universities,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 27.09.1963 über die Weiterführung der Finanzordnung des Bundes (Verlängerung der Geltungsdauer von Art.41ter BV und Ermässigung der Wehrsteuer),1963-12-08,Mandatory referendum,tax policy,financial system,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren für das Entscheidungsrecht des Volkes über die Ausrüstung der schweizerischen Armee mit Atomwaffen,1963-05-26,Citizens' initiative,arms,referendum,legislative procedure,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 15.06.1962 über die Aenderung des Artikels 72 der Bundesverfassung (Wahl des Nationalrates),1962-11-04,Mandatory referendum,parliament,electoral system,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 21.12.1961 über die Abänderung des Bundesgesetzes betreffend die Taggelder und Reiseentschädigungen des Nationalrates und der Kommission der eidgenössischen Räte,1962-05-27,Optional referendum,parliament,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 21.12.1961 über die Ergänzung der Bundesverfassung durch einen Artikel 24sexies betreffend den Natur- und Heimatschutz,1962-05-27,Mandatory referendum,protection of nature and cultural heritage,,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren für ein Verbot von Atomwaffen,1962-04-01,Citizens' initiative,arms,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 23.06.1961 über die schweizerische Uhrenindustrie (Uhrenstatut),1961-12-03,Optional referendum,structural policy,,,Bottom up,Binding,Official,Normal,Citizens
Volksbegehren für die Einführung der Gesetzesinitiative im Bund,1961-10-22,Citizens' initiative,citizens' initiatives,legislative procedure,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 29.09.1960 über die Erhebung eines Zollzuschlages auf Treibstoffen zur Finanzierung der Nationalstrassen,1961-03-05,Optional referendum,indirect taxation,road construction,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 14.12.1960 über die Ergänzung der Bundesverfassung durch einen Artikel 26bis betreffend Rohrleitungsanlagen zur Beförderung flüssiger oder gasförmiger Brenn- oder Treibstoffe,1961-03-05,Mandatory referendum,oil and gas,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 30.06.1960 betreffend die Aenderung des Bundesbeschlusses über zusätzliche wirtschaftliche und finanzielle Massnahmen auf dem Gebiete der Milchwirtschaft,1960-12-04,Optional referendum,livestock,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 24.03.1960 über die Weiterführung befristeter Preiskontrollmassnahmen,1960-05-29,Mandatory referendum,pricing policy,tenancy issues,livestock,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 17.12.1958 über die Ergänzung der Bundesverfassung durch einen Artikel 22bis über den Zivilschutz,1959-05-24,Mandatory referendum,civil protection,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 13.06.1958 über die Einführung des Frauenstimm- und -wahlrechts in eidgenössischen Angelegenheiten,1959-02-01,Mandatory referendum,voting rights,status of women,fundamental rights,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 20.12.1957 betreffend die Genehmigung des zwischen der Schweizerischen Eidgenossenschaft und der Italienischen Republik abgeschlossenen Abkommens über die Nutzbarmachung der Wasserkraft des Spöl,1958-12-07,Optional referendum,bilateral treaties,hydro-electric power,protection of nature and cultural heritage,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 26.09.1958 über die Aenderung der Bundesverfassung (Kursaalspiele),1958-12-07,Mandatory referendum,structural policy,lottery and gambling,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren für die 44-Stundenwoche (Arbeitszeitverkürzung),1958-10-26,Citizens' initiative,working hours,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 21.03.1958 über das Volksbegehren für die Verbesserung des Strassennetzes (Gegenentwurf),1958-07-06,Counter proposal,road construction,,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 21.03.1958 über die Ergänzung der Bundesverfassung durch einen Artikel 27ter betreffend das Filmwesen,1958-07-06,Mandatory referendum,cultural policy,structural policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 31.01.1958 über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes,1958-05-11,Mandatory referendum,tax policy,financial system,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren gegen den Missbrauch wirtschaftlicher Macht,1958-01-26,Citizens' initiative,competition policy,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 01.10.1957 über die befristete Verlängerung der Geltungsdauer der Uebergangsordnung betreffend die Brotgetreideversorgung des Landes,1957-11-24,Mandatory referendum,crop production,national economic supply,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 20.09.1957 über die Ergänzung der Bundesverfassung durch einen Artikel 24quinquies betreffend die Atomenergie und den Strahlenschutz,1957-11-24,Mandatory referendum,nuclear energy,environmental policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 21.12.1956 über die Ergänzung der Bundesverfassung durch einen Artikel 36bis betreffend Rundspruch und Fernsehen,1957-03-03,Mandatory referendum,"radio, television and electronic media",,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 21.12.1956 über die Ergänzung der Bundesverfassung durch einen Artikel 22bis über den Zivilschutz,1957-03-03,Mandatory referendum,civil protection,status of women,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 27.06.1956 über das Volksbegehren betreffend Ausgabenbeschlüsse der Bundesversammlung (Gegenentwurf),1956-09-30,Counter proposal,public expenditure,parliament,referendum,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 27.06.1956 über die Revision der Brotgetreideordnung des Landes,1956-09-30,Mandatory referendum,crop production,national economic supply,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 30.09.1955 über Massnahmen zur Stärkung der Wirtschaft des Kantons Graubünden durch Gewährung einer Hilfe an die Holzverzuckerungs-AG,1956-05-13,Optional referendum,structural policy,forestry,national economic supply,Bottom up,Binding,Official,Normal,Citizens
Volksbegehren zur Erweiterung der Volksrechte bei der Erteilung von Wasserrechtskonzessionen durch den Bund,1956-05-13,Citizens' initiative,hydro-electric power,referendum,protection of nature and cultural heritage,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 22.12.1955 über die befristete Weiterführung einer beschränkten Preiskontrolle (Verlängerung der Gültigkeitsdauer des Verfassungszusatzes vom 26. September 1952),1956-03-04,Mandatory referendum,pricing policy,tenancy issues,,Automatic,Binding,Official,Normal,Constitution
Gegenvorschlag zur eidgenössischen Volksinitiative zum Schutz der Mieter und Konsumenten (Weiterführung der Preiskontrolle),1955-03-13,Counter proposal,pricing policy,tenancy issues,consumer protection,Top down,Binding,Official,Normal,Parliament
