Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
Volksinitiative «Für eine Schweiz ohne synthetische Pestizide»,2021-06-13,Citizens' initiative,agriculture,economy,environment,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Für sauberes Trinkwasser und gesunde Nahrung – Keine Subventionen für den Pestizid- und den prophylaktischen Antibiotika-Einsatz»,2021-06-13,Citizens' initiative,agriculture,water pollution control,soil protection,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Genehmigung des Umfassenden Wirtschaftspartnerschaftsabkommen zwischen der EFTA-Staaten und Indonesien,2021-03-07,Optional referendum,foreign trade policy,economy,environment,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über elektronische Identifizierungsdienste,2021-03-07,Optional referendum,data protection,,,Bottom up,Binding,Official,Normal,Citizens
Ja zum Verhüllungsverbot,2021-03-07,Citizens' initiative,fundamental rights,public security,status of women,Bottom up,Binding,Official,Normal,Citizens
Für ein Verbot der Finanzierung von Kriegsmaterialproduzenten,2020-11-29,Citizens' initiative,neutrality,security policy,finance,Bottom up,Binding,Official,Normal,Constitution
Für verantwortungsvolle Unternehmen – zum Schutz von Mensch und Umwelt,2020-11-29,Citizens' initiative,legal system,Swiss abroad,economic policy,Bottom up,Binding,Official,Normal,Constitution
Bundesbeschluss über die Beschaffung neuer Kampfflugzeuge,2020-09-27,Optional referendum,military facilities,security policy,position on foreign policy,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten),2020-09-27,Optional referendum,taxation,social policy,family policy,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Jagd und den Schutz wildlebender Säugetiere und Vögel (Jagdgesetz, JSG)",2020-09-27,Optional referendum,"fishing, hunting and pets",agricultural policy,animal protection,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»,2020-09-27,Citizens' initiative,EU,bilateral treaties,immigration policy,Bottom up,Binding,Official,Normal,Citizens
Erwerbsersatzgesetz (indirekter Gegenvorschlag zur Volksinitiative «Für einen vernünftigen Vaterschaftsurlaub - zum Nutzen der ganzen Familie»),2020-09-27,Optional referendum,maternity insurance,social security,employment conditions,Top down,Binding,Official,Normal,Parliament
Änderung des Strafgesetzbuches und des Militärstrafgesetzes (Diskriminierung und Aufruf zu Hass aufgrund der sexuellen Orientierung),2020-02-09,Optional referendum,homosexuals,criminal law,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Mehr bezahlbare Wohnungen»,2020-02-09,Citizens' initiative,housing,social policy,,Bottom up,Binding,Official,Normal,Citizens
Umsetzung einer Änderung der EU-Waffenrichtlinie (Weiterentwicklungvon Schengen),2019-05-19,Optional referendum,security policy,EU,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Steuerreform und die AHV-Finanzierung (STAF),2019-05-19,Optional referendum,taxation,pension insurance,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,2019-02-10,Citizens' initiative,environment and living space,spatial planning,soil,Bottom up,Binding,Official,Normal,Citizens
Änderung des Bundesgesetzes über den Allgemeinen Teil des Sozialversicherungsrechts (ATSG) (Gesetzliche Grundlage für die Überwachung von Versicherten),2018-11-25,Optional referendum,social policy,social security,unemployment insurance,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,2018-11-25,Citizens' initiative,state organisation,institutions,courts,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,2018-11-25,Citizens' initiative,agriculture,livestock,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Für Ernährungssouveränität. Die Landwirtschaft betrifft uns alle»,2018-09-23,Citizens' initiative,economy,economic policy,agriculture,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Für gesunde sowie umweltfreundlich und fair hergestellte Lebensmittel (Fair-Food-Initiative)»,2018-09-23,Citizens' initiative,agriculture,environment,economy,Bottom up,Binding,Official,Normal,Citizens
Arrêté fédéral du 13.03.2018 concernant les voies cyclables et les chemins et sentiers pédestres,2018-09-23,Counter proposal,transport and infrastructure,transport policy,environment and living space,Top down,Binding,Official,Normal,Parliament
Bundesgesetz vom 29.09.2017 über Geldspiele (Geldspielgesetz),2018-06-10,Optional referendum,economy,tourism and leisure,lottery and gambling,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 01.12.2015 «Für krisensicheres Geld: Geldschöpfung allein durch die Nationalbank! (Vollgeld-Initiative)»,2018-06-10,Citizens' initiative,finance,monetary policy,national bank,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Ja zur Abschaffung der Radio- und Fernsehgebühren (Abschaffung der Billag-Gebühren)»,2018-03-04,Citizens' initiative,"culture, religion and media",media and communication,"radio, television and electronic media",Bottom up,,Official,Normal,Citizens
Bundesbeschluss über die neue Finanzordnung 2021,2018-03-04,Mandatory referendum,public finance,taxation,direct taxation,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 17.03.2017 über die Reform der Altersvorsorge 2020,2017-09-24,Mandatory referendum,social policy,social security,pension insurance,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 17.03.2017 über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,2017-09-24,Mandatory referendum,social policy,social security,pension insurance,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 14.03.2017 über die Ernährungssicherheit (direkter Gegenentwurf zur Volksinitiative «Für Ernährungssicherheit»),2017-09-24,Counter proposal,agriculture,agricultural policy,economy,,Binding,Official,Normal,Parliament
Energiegesetz (EnG),2017-05-21,Optional referendum,energy,energy policy,nuclear energy,Bottom up,Binding,Official,Normal,Citizens
